level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	231	449	2835	30	-1	
3	1	1	1	0	0	231	449	2835	30	-1	
4	1	1	1	1	0	231	449	2835	30	-1	
5	1	1	1	1	1	231	453	43	25	92.046120	CR
5	1	1	1	1	2	293	461	5	16	90.089149	:
5	1	1	1	1	3	314	449	289	26	94.934814	798796645324
5	1	1	1	1	4	2774	455	113	20	0.000000	V-NAAS
5	1	1	1	1	5	2903	459	5	14	0.000000	:
5	1	1	1	1	6	2920	453	75	26	37.684971	Soul!
5	1	1	1	1	7	3019	452	47	27	17.858971	ody
2	1	2	0	0	0	233	338	2837	195	-1	
3	1	2	1	0	0	233	338	2837	195	-1	
4	1	2	1	1	0	246	338	2813	49	-1	
5	1	2	1	1	1	246	338	173	35	90.631172	Ethicfin
5	1	2	1	1	2	432	338	46	35	92.910896	Al
5	1	2	1	1	3	491	338	186	35	91.170319	Ghamdi
5	1	2	1	1	4	689	341	272	41	96.181366	Contracting
5	1	2	1	1	5	977	341	80	32	96.208412	Est.
5	1	2	1	1	6	2199	344	77	35	26.033913	Ng
5	1	2	1	1	7	2283	332	80	59	26.033913	lols
5	1	2	1	1	8	2374	341	134	43	2.839600	Srolstl
5	1	2	1	1	9	2526	353	77	34	27.578918	sre
5	1	2	1	1	10	2616	341	34	35	46.861855	J]
5	1	2	1	1	11	2666	353	79	17	14.739685	ase
5	1	2	1	1	12	2761	350	34	32	38.358109	Go
5	1	2	1	1	13	2811	344	56	43	18.305626	We
5	1	2	1	1	14	2883	350	38	31	54.173130	ya
5	1	2	1	1	15	2936	341	123	41	0.000000	dawje
4	1	2	1	2	0	233	400	2837	34	-1	
5	1	2	1	2	1	233	401	275	32	92.206894	Al-Muzahimiyah,
5	1	2	1	2	2	519	401	110	29	91.988754	Wasila,
5	1	2	1	2	3	644	403	96	24	96.875038	19658
5	1	2	1	2	4	1728	400	24	20	21.546799	=:
5	1	2	1	2	5	2606	407	102	23	0.000000	VAVcA,
5	1	2	1	2	6	2738	401	92	29	37.743954	Alle
5	1	2	1	2	7	2842	395	228	43	0.000000	dlivgediomlysJl
4	1	2	1	3	0	236	501	2833	32	-1	
5	1	2	1	3	1	236	501	58	26	96.254166	VAT
5	1	2	1	3	2	306	501	67	26	95.967697	NO:
5	1	2	1	3	3	392	501	304	25	73.097519	1234567456467?
5	1	2	1	3	4	2700	504	177	20	0.000000	MYA
5	1	2	1	3	5	2783	495	39	42	18.018158	wo
5	1	2	1	3	6	2846	495	29	42	11.151459	oY
5	1	2	1	3	7	2899	495	49	42	14.939186	Ses
5	1	2	1	3	8	2962	495	47	42	42.577557	pall
5	1	2	1	3	9	3032	495	37	42	20.864227	ad)
2	1	3	0	0	0	156	564	2992	13	-1	
3	1	3	1	0	0	156	564	2992	13	-1	
4	1	3	1	1	0	156	564	2992	13	-1	
5	1	3	1	1	1	156	564	2992	13	95.000000	 
2	1	4	0	0	0	1181	614	938	75	-1	
3	1	4	1	0	0	1181	614	938	75	-1	
4	1	4	1	1	0	1181	614	938	75	-1	
5	1	4	1	1	1	1181	615	138	58	96.297089	TAX
5	1	4	1	1	2	1352	614	283	60	93.075668	INVOICE
5	1	4	1	1	3	1662	615	23	65	93.075668	/
5	1	4	1	1	4	1708	626	97	59	31.041534	du
5	1	4	1	1	5	1809	629	113	60	47.038975	pus
5	1	4	1	1	6	1951	625	60	64	50.832249	85
5	1	4	1	1	7	2012	615	107	73	28.569733	gilé
2	1	5	0	0	0	212	754	2866	106	-1	
3	1	5	1	0	0	212	754	2866	106	-1	
4	1	5	1	1	0	2243	754	835	48	-1	
5	1	5	1	1	1	2243	754	147	38	96.245537	Invoice
5	1	5	1	1	2	2409	755	52	37	96.573296	No
5	1	5	1	1	3	2574	755	172	37	95.925087	01-1202
5	1	5	1	1	4	2877	764	15	27	0.000000	8
5	1	5	1	1	5	2893	757	113	45	15.357124	gilall
