level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3308	1403	-1	
2	1	1	0	0	0	241	31	1785	290	-1	
3	1	1	1	0	0	241	31	1785	290	-1	
4	1	1	1	1	0	241	31	1249	50	-1	
5	1	1	1	1	1	241	32	106	39	96.726646	Java
5	1	1	1	1	2	368	32	90	39	95.951134	Full
5	1	1	1	1	3	481	31	128	40	96.828239	Stack
5	1	1	1	1	4	630	32	246	39	96.564651	Front-End
5	1	1	1	1	5	898	32	310	49	92.955811	Development
5	1	1	1	1	6	1229	55	28	1	91.815872	—
5	1	1	1	1	7	1278	31	212	40	92.150757	Coursera
4	1	1	1	2	0	241	120	1785	51	-1	
5	1	1	1	2	1	241	122	168	39	94.649490	Flutter
5	1	1	1	2	2	431	122	86	39	94.649490	and
5	1	1	1	2	3	539	122	122	39	96.693642	Dart:
5	1	1	1	2	4	692	122	264	49	95.792366	Developing
5	1	1	1	2	5	977	121	98	50	38.353191	iOS,
5	1	1	1	2	6	1100	120	208	51	96.799316	Android,
5	1	1	1	2	7	1333	122	85	39	96.836662	and
5	1	1	1	2	8	1440	122	161	39	96.684204	Mobile
5	1	1	1	2	9	1623	120	121	51	93.272636	Apps
5	1	1	1	2	10	1764	145	28	1	91.643211	—
5	1	1	1	2	11	1813	121	213	40	92.055565	Coursera
4	1	1	1	3	0	243	274	823	47	-1	
5	1	1	1	3	1	243	274	336	47	96.227020	RELEVANT
5	1	1	1	3	2	614	274	452	47	96.399872	COURSEWORK
2	1	2	0	0	0	242	405	1039	231	-1	
3	1	2	1	0	0	242	405	1039	231	-1	
4	1	2	1	1	0	242	405	491	49	-1	
5	1	2	1	1	1	242	418	21	22	92.205986	e
5	1	2	1	1	2	296	405	105	39	96.552773	Web
5	1	2	1	1	3	423	405	310	49	96.228699	Development
4	1	2	1	2	0	242	491	1039	56	-1	
5	1	2	1	2	1	242	508	21	22	92.709167	e
5	1	2	1	2	2	297	495	220	39	95.521439	Database
5	1	2	1	2	3	539	495	306	49	95.521439	Management
5	1	2	1	2	4	869	494	191	50	96.063591	Systems
5	1	2	1	2	5	1086	491	195	56	96.260048	(DBMS)
4	1	2	1	3	0	242	580	975	56	-1	
5	1	2	1	3	1	242	597	21	22	92.941673	e
5	1	2	1	3	2	298	583	389	50	96.036499	Object-Oriented
5	1	2	1	3	3	709	584	327	49	96.197960	Programming
5	1	2	1	3	4	1061	580	156	56	96.618011	(OOP)
2	1	3	0	0	0	243	735	1031	47	-1	
3	1	3	1	0	0	243	735	1031	47	-1	
4	1	3	1	1	0	243	735	1031	47	-1	
5	1	3	1	1	1	243	737	638	45	96.246918	EXTRACURRICULAR
5	1	3	1	1	2	912	735	362	47	96.756630	ACTIVITIES
2	1	4	0	0	0	241	866	2824	50	-1	
3	1	4	1	0	0	241	866	2824	50	-1	
4	1	4	1	1	0	241	866	2824	50	-1	
5	1	4	1	1	1	241	867	156	38	95.745270	Event
5	1	4	1	1	2	422	866	334	40	92.775932	Coordinator
5	1	4	1	1	3	773	890	28	1	90.212738	—
5	1	4	1	1	4	819	866	295	40	96.683441	Coordinated
5	1	4	1	1	5	1133	867	156	49	96.684181	college
5	1	4	1	1	6	1308	871	89	35	96.232094	arts
5	1	4	1	1	7	1416	866	80	40	96.403214	fest
5	1	4	1	1	8	1516	868	226	48	96.519737	activities,
5	1	4	1	1	9	1764	867	67	39	94.873604	led
5	1	4	1	1	10	1850	880	25	26	93.284142	a
5	1	4	1	1	11	1896	867	261	39	89.837143	10-member
5	1	4	1	1	12	2174	871	130	45	96.166862	team,
5	1	4	1	1	13	2327	867	211	49	96.769104	managed
5	1	4	1	1	14	2557	867	200	49	95.856689	logistics,
5	1	4	1	1	15	2779	867	86	39	96.388756	and
5	1	4	1	1	16	2884	867	181	39	96.648773	ensured
2	1	5	0	0	0	241	956	490	40	-1	
3	1	5	1	0	0	241	956	490	40	-1	
4	1	5	1	1	0	241	956	490	40	-1	
5	1	5	1	1	1	241	956	230	40	95.534660	successful
5	1	5	1	1	2	493	958	238	38	96.073837	execution.
