level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3308	1403	-1	
2	1	1	0	0	0	296	7	2769	1293	-1	
3	1	1	1	0	0	297	7	653	49	-1	
4	1	1	1	1	0	297	7	653	49	-1	
5	1	1	1	1	1	297	7	300	49	96.302551	Languages:
5	1	1	1	1	2	628	7	122	49	95.968872	Dart,
5	1	1	1	1	3	775	7	175	49	96.927063	Python
3	1	1	2	0	0	297	95	988	50	-1	
4	1	1	2	1	0	297	95	988	50	-1	
5	1	1	2	1	1	297	95	361	50	96.630699	Technologies:
5	1	1	2	1	2	690	96	180	49	95.701042	Flutter,
5	1	1	2	1	3	895	96	182	49	95.701042	Django,
5	1	1	2	1	4	1102	95	183	50	96.019424	MySQL
3	1	1	3	0	0	297	184	2766	141	-1	
4	1	1	3	1	0	297	184	2766	51	-1	
5	1	1	3	1	1	297	186	246	49	96.491051	Developed
5	1	1	3	1	2	567	199	56	26	93.280693	an
5	1	1	3	1	3	646	184	349	41	90.692757	Android-based
5	1	1	3	1	4	1020	186	273	39	96.363686	educational
5	1	1	3	1	5	1316	185	205	50	95.979439	platform
5	1	1	3	1	6	1545	185	195	50	96.227768	focusing
5	1	1	3	1	7	1763	199	56	26	96.997192	on
5	1	1	3	1	8	1842	186	176	39	96.798500	student
5	1	1	3	1	9	2043	186	191	49	96.584480	learning
5	1	1	3	1	10	2257	186	311	39	95.984901	enhancement
5	1	1	3	1	11	2593	186	86	39	93.074043	and
5	1	1	3	1	12	2703	185	200	40	92.500374	soft-skill
5	1	1	3	1	13	2927	186	136	39	92.298225	devel-
4	1	1	3	2	0	297	275	2522	50	-1	
5	1	1	3	2	1	297	280	175	45	95.776268	opment
5	1	1	3	2	2	495	277	124	48	89.000511	using
5	1	1	3	2	3	641	275	252	40	89.000511	SEL-based
5	1	1	3	2	4	914	276	207	49	96.466423	tracking,
5	1	1	3	2	5	1146	280	167	35	95.933128	mentor
5	1	1	3	2	6	1335	277	269	48	96.029900	interaction,
5	1	1	3	2	7	1629	276	280	49	96.362282	dashboards,
5	1	1	3	2	8	1934	276	86	39	96.581169	and
5	1	1	3	2	9	2042	276	233	39	95.042923	classroom
5	1	1	3	2	10	2296	280	301	45	96.476395	management
5	1	1	3	2	11	2620	275	199	40	96.660172	features.
3	1	1	4	0	0	297	365	212	38	-1	
4	1	1	4	1	0	297	365	212	38	-1	
5	1	1	4	1	1	297	365	212	38	92.676605	FestEve
3	1	1	5	0	0	297	455	439	49	-1	
4	1	1	5	1	0	297	455	439	49	-1	
5	1	1	5	1	1	297	455	300	49	96.366356	Languages:
5	1	1	5	1	2	628	455	108	39	96.341347	Dart
3	1	1	6	0	0	297	544	797	50	-1	
4	1	1	6	1	0	297	544	797	50	-1	
5	1	1	6	1	1	297	544	361	50	95.875336	Technologies:
5	1	1	6	1	2	690	545	180	49	93.300011	Flutter,
5	1	1	6	1	3	895	545	199	39	92.366661	Firebase
3	1	1	7	0	0	296	634	2767	139	-1	
4	1	1	7	1	0	297	634	2766	49	-1	
5	1	1	7	1	1	297	634	214	49	96.365959	Designed
5	1	1	7	1	2	535	647	25	26	96.816170	a
5	1	1	7	1	3	583	634	156	49	96.810677	college
5	1	1	7	1	4	762	638	124	35	95.571655	event
5	1	1	7	1	5	910	638	302	45	96.410759	management
5	1	1	7	1	6	1236	634	265	49	96.642883	application
5	1	1	7	1	7	1523	634	106	39	96.675255	with
5	1	1	7	1	8	1651	638	123	35	96.475304	event
5	1	1	7	1	9	1798	635	287	48	96.117241	registration,
5	1	1	7	1	10	2111	634	221	39	95.894447	volunteer
5	1	1	7	1	11	2355	634	312	49	96.516991	coordination,
5	1	1	7	1	12	2693	634	213	39	93.035858	real-time
5	1	1	7	1	13	2930	647	133	26	92.509438	score-
4	1	1	7	2	0	296	724	843	49	-1	
5	1	1	7	2	1	296	724	172	49	96.346436	boards,
5	1	1	7	2	2	493	724	85	39	96.307404	and
5	1	1	7	2	3	600	725	163	38	96.642380	instant
5	1	1	7	2	4	785	724	133	39	96.560806	result
5	1	1	7	2	5	941	724	198	49	96.714439	updates.
3	1	1	8	0	0	297	813	247	39	-1	
4	1	1	8	1	0	297	813	247	39	-1	
5	1	1	8	1	1	297	813	247	39	90.995720	FinTrack
3	1	1	9	0	0	297	902	581	50	-1	
4	1	1	9	1	0	297	902	581	50	-1	
5	1	1	9	1	1	297	903	300	49	96.243965	Languages:
5	1	1	9	1	2	628	903	121	49	95.756905	PHP,
5	1	1	9	1	3	775	902	103	50	95.394585	SQL
3	1	1	10	0	0	297	992	896	50	-1	
4	1	1	10	1	0	297	992	896	50	-1	
5	1	1	10	1	1	297	992	361	50	93.257820	Technologies:
5	1	1	10	1	2	691	992	294	50	91.988754	Codelgniter,
5	1	1	10	1	3	1009	992	184	50	95.940186	MySQL
